anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
23,29,32.90625,1,"[26, 29, 27, 35, 32, 38, 36, 36, 35, 25, 25, 34, 34, 35, 38, 35, 32, 38, 37, 38, 32, 35, 28, 27, 36, 29, 34, 33, 31, 33, 37, 33]",32,37,3.994830329,24
24,29,31.09375,1,"[34, 33, 36, 26, 26, 38, 32, 33, 30, 29, 25, 29, 30, 26, 33, 33, 34, 31, 29, 29, 28, 29, 31, 34, 35, 37, 32, 29, 33, 31, 27, 33]",32,38,3.315256765,30
25,30,32.03333333,1,"[28, 31, 32, 29, 37, 35, 29, 37, 27, 31, 31, 35, 31, 34, 36, 30, 30, 28, 26, 36, 30, 33, 35, 31, 32, 39, 32, 30, 32, 34]",30,39,3.210793578,30
26,31,34.09375,1,"[40, 35, 35, 36, 31, 31, 33, 29, 33, 31, 34, 31, 36, 31, 37, 29, 33, 40, 32, 28, 29, 39, 39, 40, 28, 33, 38, 39, 38, 34, 31, 38]",32,40,3.846736153,30
24,30,32.5,1,"[29, 31, 32, 34, 39, 38, 39, 33, 30, 29, 31, 30, 26, 34, 36, 29, 30, 34, 38, 38, 30, 34, 31, 39, 30, 27, 35, 31, 25, 38, 30, 30]",32,41,3.991927338,24
25,30,32.55172414,1,"[39, 34, 26, 33, 32, 36, 35, 35, 33, 33, 38, 26, 31, 32, 30, 37, 28, 32, 32, 32, 30, 36, 27, 29, 35, 36, 38, 33, 26]",29,42,3.718546249,24
22,28,32.3125,1,"[35, 29, 24, 29, 35, 38, 35, 36, 30, 34, 26, 25, 38, 28, 32, 37, 34, 37, 31, 24, 26, 38, 36, 35, 29, 38, 28, 38, 35, 26, 32, 36]",32,43,4.67275908,24
23,28,32.0625,1,"[31, 30, 35, 37, 36, 37, 32, 30, 32, 33, 27, 33, 35, 35, 24, 35, 33, 24, 35, 37, 31, 34, 24, 38, 36, 29, 31, 26, 36, 25, 36, 29]",32,44,4.242165454,24
24,29,31.90322581,1,"[34, 31, 35, 38, 32, 28, 26, 29, 36, 32, 28, 30, 37, 36, 29, 31, 36, 36, 26, 34, 26, 34, 34, 37, 30, 31, 31, 36, 27, 30, 29]",31,45,3.64558947,24
23,27,32.09375,1,"[38, 38, 33, 26, 32, 29, 34, 30, 31, 37, 34, 26, 25, 33, 31, 28, 32, 26, 37, 38, 37, 35, 27, 37, 28, 29, 36, 35, 36, 25, 26, 38]",32,46,4.496302244,24
22,28,31.84375,1,"[34, 38, 34, 34, 32, 35, 31, 27, 32, 28, 31, 29, 23, 38, 35, 36, 36, 30, 37, 37, 30, 37, 33, 28, 34, 36, 32, 25, 24, 26, 26, 31]",32,47,4.296355357,24
23,29,34,1,"[36, 36, 38, 37, 28, 35, 35, 27, 27, 34, 38, 38, 38, 33, 34, 38, 33, 37, 30, 34, 37, 38, 25, 30, 38, 32, 38, 37, 37, 36, 28, 26]",32,48,4.173650062,24
24,28,31.5,1,"[28, 33, 34, 29, 30, 32, 30, 31, 31, 28, 31, 38, 31, 36, 37, 31, 30, 34, 27, 32, 25, 38, 38, 27, 25, 37, 27, 38, 28, 36, 29, 27]",32,49,4.048097921,24
24,29,31.4375,1,"[37, 30, 29, 32, 35, 28, 31, 26, 34, 32, 32, 30, 37, 28, 33, 33, 36, 25, 32, 30, 34, 31, 33, 31, 32, 30, 29, 38, 33, 26, 33, 26]",32,50,3.311149299,24
